Year,SUNY Institution,Sector,All Employees Total ,All Employees Full-Time,All Employees Part-Time,Faculty Total, Faculty Full-Time,Faculty  Part-Time,Professional Employees Non-Faculty  Total,Professional Employees Non-Faculty  Full-Time,Professional Employees Non-Faculty  Part-Time,Other Employees Total,Other Employees Full-Time,Other Employees Part-Time
2009,Herkimer County,Community Colleges,367,234,133,157,76,81,90,70,20,120,88,32
2008,Herkimer County,Community Colleges,369,234,135,150,75,75,90,72,18,129,87,42
2007,Herkimer County,Community Colleges,385,251,134,164,78,86,101,80,21,120,93,27
2006,Herkimer County,Community Colleges,380,255,125,166,83,83,98,77,21,116,95,21
2005,Herkimer County,Community Colleges,356,235,121,151,78,73,87,66,21,118,91,27
2003,Herkimer County,Community Colleges,406,227,179,213,78,135,85,63,22,108,86,22
2002,Herkimer County,Community Colleges,332,223,109,163,80,83,68,59,9,101,84,17
2001,Herkimer County,Community Colleges,302,227,75,131,79,52,76,67,9,95,81,14
2000,Herkimer County,Community Colleges,301,214,87,139,75,64,77,69,8,85,70,15
2020,Hudson Valley,Community Colleges,910,541,369,489,211,278,183,130,53,238,200,38
2019,Hudson Valley,Community Colleges,945,567,378,520,224,296,191,139,52,234,204,30
2018,Hudson Valley,Community Colleges,956,566,390,529,230,299,192,134,58,235,202,33
2017,Hudson Valley,Community Colleges,999,575,424,534,221,313,217,148,69,248,206,42
2016,Hudson Valley,Community Colleges,"1,068",594,474,594,232,362,226,155,71,248,207,41
2015,Hudson Valley,Community Colleges,"1,098",596,502,613,229,384,232,159,73,253,208,45
2014,Hudson Valley,Community Colleges,"1,093",591,502,610,226,384,232,159,73,251,206,45
2013,Hudson Valley,Community Colleges,"1,106",608,498,609,236,373,286,189,97,211,183,28
2012,Hudson Valley,Community Colleges,"1,157",591,566,669,224,445,283,187,96,205,180,25
2011,Hudson Valley,Community Colleges,"1,163",635,528,707,267,440,183,141,42,273,227,46
2010,Hudson Valley,Community Colleges,"1,175",670,505,726,283,443,203,159,44,246,228,18
2009,Hudson Valley,Community Colleges,"1,177",663,514,718,286,432,202,148,54,257,229,28
2008,Hudson Valley,Community Colleges,"1,120",645,475,671,273,398,179,139,40,270,233,37
2007,Hudson Valley,Community Colleges,"1,096",636,460,651,271,380,173,131,42,272,234,38
2006,Hudson Valley,Community Colleges,"1,117",631,486,651,272,379,180,135,45,286,224,62
2005,Hudson Valley,Community Colleges,"1,146",648,498,651,266,385,218,153,65,277,229,48
2003,Hudson Valley,Community Colleges,"1,055",589,466,606,252,354,181,121,60,268,216,52
2002,Hudson Valley,Community Colleges,961,603,358,585,247,338,113,113,0,263,243,20
2001,Hudson Valley,Community Colleges,902,607,295,526,251,275,113,113,0,263,243,20
2000,Hudson Valley,Community Colleges,887,599,288,514,260,254,116,102,14,257,237,20
2020,Jamestown,Community Colleges,476,188,288,325,64,261,85,68,17,66,56,10
2019,Jamestown,Community Colleges,602,237,365,376,73,303,104,81,23,122,83,39
2018,Jamestown,Community Colleges,469,216,253,260,71,189,116,85,31,93,60,33
2017,Jamestown,Community Colleges,508,223,285,292,70,222,89,76,13,127,77,50
2016,Jamestown,Community Colleges,517,219,298,306,72,234,82,72,10,129,75,54
2015,Jamestown,Community Colleges,545,233,312,316,75,241,92,76,16,137,82,55
2014,Jamestown,Community Colleges,571,233,338,351,78,273,101,81,20,119,74,45
2013,Jamestown,Community Colleges,573,241,332,341,77,264,103,84,19,129,80,49
2012,Jamestown,Community Colleges,588,230,358,370,76,294,98,81,17,120,73,47
2011,Jamestown,Community Colleges,588,228,360,378,84,294,75,60,15,135,84,51
2010,Jamestown,Community Colleges,620,226,394,414,83,331,73,59,14,133,84,49
2009,Jamestown,Community Colleges,581,223,358,378,81,297,71,55,16,132,87,45
2008,Jamestown,Community Colleges,579,223,356,373,80,293,71,56,15,135,87,48
2007,Jamestown,Community Colleges,541,226,315,336,79,257,71,60,11,134,87,47
2006,Jamestown,Community Colleges,543,224,319,325,81,244,73,54,19,145,89,56
2005,Jamestown,Community Colleges,582,238,344,355,84,271,72,67,5,155,87,68
2003,Jamestown,Community Colleges,634,288,346,342,75,267,72,67,5,220,146,74
2002,Jamestown,Community Colleges,529,217,312,307,69,238,59,53,6,163,95,68
2001,Jamestown,Community Colleges,410,216,194,219,74,145,69,63,6,122,79,43
2000,Jamestown,Community Colleges,482,224,258,267,74,193,89,76,13,126,74,52
2020,Jefferson,Community Colleges,288,169,119,160,66,94,80,56,24,48,47,1
2019,Jefferson,Community Colleges,362,199,163,196,73,123,105,66,39,61,60,1
2018,Jefferson,Community Colleges,397,205,192,218,73,145,117,71,46,62,61,1
2017,Jefferson,Community Colleges,436,212,224,239,74,165,129,77,52,68,61,7
2016,Jefferson,Community Colleges,432,212,220,242,77,165,121,75,46,69,60,9
2015,Jefferson,Community Colleges,446,215,231,251,80,171,126,77,49,69,58,11
2014,Jefferson,Community Colleges,427,221,206,245,83,162,114,79,35,68,59,9
2013,Jefferson,Community Colleges,430,217,213,246,80,166,116,78,38,68,59,9
2012,Jefferson,Community Colleges,441,219,222,260,79,181,100,73,27,81,67,14
2011,Jefferson,Community Colleges,430,222,208,228,83,145,83,60,23,119,79,40
2010,Jefferson,Community Colleges,389,208,181,196,77,119,77,56,21,116,75,41
2009,Jefferson,Community Colleges,383,209,174,192,77,115,75,57,18,116,75,41
2008,Jefferson,Community Colleges,326,205,121,175,77,98,80,62,18,71,66,5
2007,Jefferson,Community Colleges,311,199,112,164,74,90,78,62,16,69,63,6
2006,Jefferson,Community Colleges,313,193,120,167,75,92,70,57,13,76,61,15
2005,Jefferson,Community Colleges,361,206,155,201,77,124,78,63,15,82,66,16
2003,Jefferson,Community Colleges,336,205,131,180,75,105,75,64,11,81,66,15
2002,Jefferson,Community Colleges,348,218,130,182,75,107,83,68,15,83,75,8
2001,Jefferson,Community Colleges,350,201,149,189,74,115,79,60,19,82,67,15
2000,Jefferson,Community Colleges,327,201,126,173,75,98,76,59,17,78,67,11
2020,Mohawk Valley,Community Colleges,653,394,259,262,122,140,272,160,112,119,112,7
2019,Mohawk Valley,Community Colleges,753,401,352,306,123,183,315,165,150,132,113,19
2018,Mohawk Valley,Community Colleges,786,408,378,332,128,204,312,158,154,142,122,20
2017,Mohawk Valley,Community Colleges,805,419,386,329,135,194,326,160,166,150,124,26
2016,Mohawk Valley,Community Colleges,803,417,386,350,132,218,309,160,149,144,125,19
2015,Mohawk Valley,Community Colleges,826,423,403,348,140,208,318,159,159,160,124,36
2014,Mohawk Valley,Community Colleges,878,446,432,404,145,259,320,170,150,154,131,23
2013,Mohawk Valley,Community Colleges,867,433,434,415,142,273,295,163,132,157,128,29
2012,Mohawk Valley,Community Colleges,875,445,430,402,142,260,309,165,144,164,138,26
2011,Mohawk Valley,Community Colleges,890,433,457,421,144,277,297,142,155,172,147,25
2010,Mohawk Valley,Community Colleges,841,421,420,383,144,239,290,136,154,168,141,27
2009,Mohawk Valley,Community Colleges,793,409,384,356,137,219,264,127,137,173,145,28
2008,Mohawk Valley,Community Colleges,747,405,342,314,139,175,259,119,140,174,147,27
2007,Mohawk Valley,Community Colleges,713,396,317,297,140,157,241,108,133,175,148,27
2006,Mohawk Valley,Community Colleges,701,400,301,297,137,160,221,111,110,183,152,31
2005,Mohawk Valley,Community Colleges,704,399,305,309,139,170,211,104,107,184,156,28
2003,Mohawk Valley,Community Colleges,619,398,221,266,145,121,197,124,73,156,129,27
2002,Mohawk Valley,Community Colleges,633,426,207,302,177,125,177,118,59,154,131,23
2001,Mohawk Valley,Community Colleges,604,384,220,248,139,109,202,115,87,154,130,24
2000,Mohawk Valley,Community Colleges,631,402,229,273,143,130,200,126,74,158,133,25
2020,Monroe,Community Colleges,"1,321",802,519,609,245,364,357,302,55,355,255,100
2019,Monroe,Community Colleges,"1,568",868,700,704,271,433,415,322,93,449,275,174
2018,Monroe,Community Colleges,"1,594",897,697,729,291,438,421,317,104,444,289,155
2017,Monroe,Community Colleges,"1,612",902,710,744,295,449,440,315,125,428,292,136
2016,Monroe,Community Colleges,"1,611",876,735,754,295,459,450,311,139,407,270,137
2015,Monroe,Community Colleges,"1,691",899,792,802,307,495,454,310,144,435,282,153
2014,Monroe,Community Colleges,"1,805",924,881,882,315,567,467,314,153,456,295,161
2013,Monroe,Community Colleges,"1,831",926,905,910,320,590,449,314,135,472,292,180
2012,Monroe,Community Colleges,"1,761",919,842,902,323,579,414,302,112,445,294,151
2011,Monroe,Community Colleges,"1,803",931,872,954,329,625,341,261,80,508,341,167
2010,Monroe,Community Colleges,"1,868",934,934,999,341,658,365,253,112,504,340,164
2009,Monroe,Community Colleges,"1,815",941,874,966,336,630,397,260,137,452,345,107
2008,Monroe,Community Colleges,"1,735",911,824,901,317,584,418,257,161,416,337,79
2007,Monroe,Community Colleges,"1,676",895,781,868,308,560,376,226,150,432,361,71
2006,Monroe,Community Colleges,"1,663",901,762,881,311,570,351,222,129,431,368,63
2005,Monroe,Community Colleges,"1,905",891,"1,014","1,161",308,853,215,212,3,529,371,158
2003,Monroe,Community Colleges,"1,908",855,"1,053","1,192",303,889,211,207,4,505,345,160
2002,Monroe,Community Colleges,"1,900",868,"1,032","1,160",296,864,227,221,6,513,351,162
2001,Monroe,Community Colleges,"1,805",849,956,"1,082",283,799,229,219,10,494,347,147
2000,Monroe,Community Colleges,"1,736",812,924,"1,041",269,772,216,205,11,479,338,141
2020,Nassau,Community Colleges,"1,800",882,918,"1,017",355,662,401,240,161,382,287,95
2019,Nassau,Community Colleges,"2,170",970,"1,200","1,219",385,834,488,279,209,463,306,157
2018,Nassau,Community Colleges,"2,281",997,"1,284","1,302",406,896,510,282,228,469,309,160
2017,Nassau,Community Colleges,"2,418","1,007","1,411","1,413",418,995,518,287,231,487,302,185
2016,Nassau,Community Colleges,"2,406","1,021","1,385","1,412",425,987,527,287,240,467,309,158
2015,Nassau,Community Colleges,"2,452","1,084","1,368","1,474",473,"1,001",523,287,236,455,324,131
2014,Nassau,Community Colleges,"2,588","1,112","1,476","1,591",497,"1,094",537,294,243,460,321,139
2013,Nassau,Community Colleges,"2,737","1,127","1,610","1,586",489,"1,097",633,291,342,518,347,171
2012,Nassau,Community Colleges,"2,602","1,132","1,470","1,562",496,"1,066",561,295,266,479,341,138
2011,Nassau,Community Colleges,"2,503","1,160","1,343","1,463",556,907,397,204,193,643,400,243
2010,Nassau,Community Colleges,"2,416","1,210","1,206","1,281",598,683,459,209,250,676,403,273
2009,Nassau,Community Colleges,"2,450","1,241","1,209","1,323",618,705,424,199,225,703,424,279
2008,Nassau,Community Colleges,"2,467","1,223","1,244","1,321",612,709,439,201,238,707,410,297
2007,Nassau,Community Colleges,"2,523","1,204","1,319","1,343",618,725,467,175,292,713,411,302
2006,Nassau,Community Colleges,"2,374","1,170","1,204","1,338",603,735,347,155,192,689,412,277
2005,Nassau,Community Colleges,"2,661","1,165","1,496","1,456",592,864,468,154,314,737,419,318
2003,Nassau,Community Colleges,"3,272","1,232","2,040","1,729",612,"1,117",666,209,457,877,411,466
2002,Nassau,Community Colleges,"3,028","1,124","1,904","1,645",583,"1,062",553,160,393,830,381,449
2001,Nassau,Community Colleges,"2,973","1,121","1,852","1,712",582,"1,130",430,145,285,831,394,437
2000,Nassau,Community Colleges,"2,913","1,097","1,816","1,628",524,"1,104",418,136,282,867,437,430
2020,Niagara County,Community Colleges,585,272,313,299,88,211,165,82,83,121,102,19
2019,Niagara County,Community Colleges,684,316,368,333,98,235,216,98,118,135,120,15
2018,Niagara County,Community Colleges,666,306,360,318,98,220,224,97,127,124,111,13
2017,Niagara County,Community Colleges,617,305,312,329,102,227,164,90,74,124,113,11
2016,Niagara County,Community Colleges,666,301,365,350,104,246,189,87,102,127,110,17
2015,Niagara County,Community Colleges,687,305,382,388,104,284,171,91,80,128,110,18
2014,Niagara County,Community Colleges,712,311,401,414,110,304,175,92,83,123,109,14
2013,Niagara County,Community Colleges,712,308,404,396,109,287,192,90,102,124,109,15
2012,Niagara County,Community Colleges,701,309,392,397,110,287,179,88,91,125,111,14
2011,Niagara County,Community Colleges,696,297,399,417,107,310,91,57,34,188,133,55
2010,Niagara County,Community Colleges,709,303,406,448,113,335,79,60,19,182,130,52
2009,Niagara County,Community Colleges,766,309,457,488,115,373,87,60,27,191,134,57
2008,Niagara County,Community Colleges,785,315,470,510,119,391,85,62,23,190,134,56
2007,Niagara County,Community Colleges,749,310,439,475,120,355,85,59,26,189,131,58
2006,Niagara County,Community Colleges,704,305,399,445,117,328,78,56,22,181,132,49
2005,Niagara County,Community Colleges,745,327,418,478,135,343,89,55,34,178,137,41
2003,Niagara County,Community Colleges,808,320,488,432,133,299,217,58,159,159,129,30
2002,Niagara County,Community Colleges,728,323,405,272,128,144,271,63,208,185,132,53
2001,Niagara County,Community Colleges,895,325,570,438,122,316,266,63,203,191,140,51
2000,Niagara County,Community Colleges,698,329,369,271,130,141,236,60,176,191,139,52
2020,North Country,Community Colleges,179,109,70,118,48,70,25,25,0,36,36,0
2019,North Country,Community Colleges,179,109,70,118,48,70,25,25,0,36,36,0
2018,North Country,Community Colleges,179,98,81,125,48,77,29,25,4,25,25,0
2017,North Country,Community Colleges,181,98,83,125,48,77,29,25,4,27,25,2
2016,North Country,Community Colleges,181,102,79,104,41,63,48,41,7,29,20,9
2015,North Country,Community Colleges,181,94,87,109,40,69,39,34,5,33,20,13
2014,North Country,Community Colleges,154,92,62,102,40,62,36,36,0,16,16,0
2013,North Country,Community Colleges,158,93,65,99,41,58,38,31,7,21,21,0
2012,North Country,Community Colleges,154,56,98,133,42,91,21,14,7,0,0,0
2011,North Country,Community Colleges,179,91,88,111,37,74,31,31,0,37,23,14
2010,North Country,Community Colleges,192,99,93,124,45,79,27,25,2,41,29,12
2009,North Country,Community Colleges,180,93,87,120,42,78,33,33,0,27,18,9
2008,North Country,Community Colleges,163,101,62,104,48,56,32,32,0,27,21,6
2007,North Country,Community Colleges,264,134,130,182,52,130,37,37,0,45,45,0
2006,North Country,Community Colleges,199,120,79,127,51,76,24,24,0,48,45,3
2005,North Country,Community Colleges,139,81,58,100,42,58,14,14,0,25,25,0
2003,North Country,Community Colleges,173,102,71,101,36,65,28,27,1,44,39,5
2002,North Country,Community Colleges,208,99,109,131,36,95,33,24,9,44,39,5
2001,North Country,Community Colleges,193,98,95,122,34,88,35,33,2,36,31,5
2000,North Country,Community Colleges,180,91,89,113,32,81,33,30,3,34,29,5
2020,Onondaga,Community Colleges,"1,199",556,643,506,173,333,411,225,186,282,158,124
2019,Onondaga,Community Colleges,"1,252",553,699,570,172,398,421,218,203,261,163,98
2018,Onondaga,Community Colleges,"1,360",601,759,646,187,459,453,238,215,261,176,85
2017,Onondaga,Community Colleges,"1,280",617,663,616,178,438,436,270,166,228,169,59
2016,Onondaga,Community Colleges,"1,289",616,673,615,180,435,454,267,187,220,169,51
2015,Onondaga,Community Colleges,"1,342",619,723,650,186,464,441,248,193,251,185,66
2014,Onondaga,Community Colleges,"1,291",603,688,645,177,468,416,244,172,230,182,48
2013,Onondaga,Community Colleges,"1,525",627,898,716,184,532,507,249,258,302,194,108
2012,Onondaga,Community Colleges,"1,403",632,771,673,181,492,521,260,261,209,191,18
2011,Onondaga,Community Colleges,"1,093",571,522,660,175,485,196,177,19,237,219,18
2010,Onondaga,Community Colleges,"1,099",572,527,684,176,508,183,175,8,232,221,11
2009,Onondaga,Community Colleges,"1,035",538,497,647,167,480,146,144,2,242,227,15
2008,Onondaga,Community Colleges,956,520,436,582,162,420,140,138,2,234,220,14
2007,Onondaga,Community Colleges,945,517,428,570,163,407,135,132,3,240,222,18
2006,Onondaga,Community Colleges,884,476,408,546,157,389,114,112,2,224,207,17
2005,Onondaga,Community Colleges,822,481,341,481,154,327,113,111,2,228,216,12
2003,Onondaga,Community Colleges,827,482,345,487,155,332,104,103,1,236,224,12
2002,Onondaga,Community Colleges,827,468,359,497,149,348,91,90,1,239,229,10
2001,Onondaga,Community Colleges,859,543,316,449,148,301,150,150,0,260,245,15
2000,Onondaga,Community Colleges,865,554,311,457,162,295,145,143,2,263,249,14
2020,Orange County,Community Colleges,"1,019",383,636,363,127,236,422,147,275,234,109,125
2019,Orange County,Community Colleges,"1,074",405,669,395,137,258,411,152,259,268,116,152
2018,Orange County,Community Colleges,"1,203",405,798,412,137,275,511,152,359,280,116,164
2017,Orange County,Community Colleges,"1,219",417,802,435,145,290,493,153,340,291,119,172
2016,Orange County,Community Colleges,"1,227",428,799,410,149,261,526,153,373,291,126,165
2015,Orange County,Community Colleges,"1,226",425,801,437,153,284,510,147,363,279,125,154
2014,Orange County,Community Colleges,"1,267",461,806,467,177,290,447,126,321,353,158,195
2013,Orange County,Community Colleges,"1,183",422,761,449,152,297,396,119,277,338,151,187
2012,Orange County,Community Colleges,"1,116",429,687,442,158,284,354,120,234,320,151,169
2011,Orange County,Community Colleges,"1,260",439,821,544,160,384,391,133,258,325,146,179
2010,Orange County,Community Colleges,"1,358",433,925,621,147,474,401,137,264,336,149,187
2009,Orange County,Community Colleges,"1,319",422,897,568,148,420,384,136,248,367,138,229
2008,Orange County,Community Colleges,"1,124",414,710,481,141,340,301,128,173,342,145,197
2007,Orange County,Community Colleges,"1,193",415,778,534,143,391,262,127,135,397,145,252
2006,Orange County,Community Colleges,"1,003",407,596,407,142,265,205,121,84,391,144,247
2005,Orange County,Community Colleges,858,399,459,382,137,245,182,116,66,294,146,148
2003,Orange County,Community Colleges,855,407,448,352,136,216,235,131,104,268,140,128
2002,Orange County,Community Colleges,815,399,416,380,156,224,200,105,95,235,138,97
2001,Orange County,Community Colleges,759,415,344,333,149,184,128,128,0,298,138,160
2000,Orange County,Community Colleges,790,501,289,337,131,206,221,213,8,232,157,75
2020,Rockland,Community Colleges,934,323,611,473,89,384,274,124,150,187,110,77
2019,Rockland,Community Colleges,923,358,565,440,90,350,296,146,150,187,122,65
2018,Rockland,Community Colleges,901,336,565,457,99,358,237,109,128,207,128,79
2017,Rockland,Community Colleges,935,363,572,516,104,412,251,123,128,168,136,32
2016,Rockland,Community Colleges,963,395,568,517,105,412,240,143,97,206,147,59
2015,Rockland,Community Colleges,948,393,555,511,110,401,246,135,111,191,148,43
2014,Rockland,Community Colleges,940,402,538,493,115,378,245,140,105,202,147,55
2013,Rockland,Community Colleges,989,402,587,528,116,412,253,140,113,208,146,62
2012,Rockland,Community Colleges,899,406,493,522,119,403,182,133,49,195,154,41
2011,Rockland,Community Colleges,"1,042",407,635,694,118,576,111,111,0,237,178,59
2010,Rockland,Community Colleges,"1,177",415,762,819,120,699,149,104,45,209,191,18
2009,Rockland,Community Colleges,"1,055",403,652,702,115,587,146,103,43,207,185,22
2008,Rockland,Community Colleges,"1,091",427,664,715,116,599,144,102,42,232,209,23
2007,Rockland,Community Colleges,"1,013",417,596,646,111,535,129,89,40,238,217,21
2006,Rockland,Community Colleges,935,417,518,577,121,456,144,110,34,214,186,28
2005,Rockland,Community Colleges,"1,147",424,723,405,145,260,102,76,26,640,203,437
2003,Rockland,Community Colleges,"1,127",393,734,407,124,283,164,111,53,556,158,398
2002,Rockland,Community Colleges,825,564,261,347,152,195,178,162,16,300,250,50
2001,Rockland,Community Colleges,"1,051",475,576,404,146,258,110,98,12,537,231,306
2000,Rockland,Community Colleges,860,446,414,359,124,235,213,95,118,288,227,61
2020,Schenectady,Community Colleges,363,179,184,149,44,105,158,87,71,56,48,8
2019,Schenectady,Community Colleges,467,190,277,205,51,154,197,84,113,65,55,10
2018,Schenectady,Community Colleges,524,194,330,210,52,158,252,90,162,62,52,10
2017,Schenectady,Community Colleges,515,189,326,218,56,162,228,77,151,69,56,13
2016,Schenectady,Community Colleges,492,197,295,219,59,160,176,78,98,97,60,37
2015,Schenectady,Community Colleges,561,204,357,283,72,211,170,69,101,108,63,45
2014,Schenectady,Community Colleges,610,230,380,320,74,246,216,96,120,74,60,14
2013,Schenectady,Community Colleges,564,207,357,293,68,225,201,88,113,70,51,19
2012,Schenectady,Community Colleges,535,203,332,263,60,203,195,91,104,77,52,25
2011,Schenectady,Community Colleges,485,198,287,251,59,192,166,82,84,68,57,11
2010,Schenectady,Community Colleges,448,192,256,243,66,177,135,65,70,70,61,9
2009,Schenectady,Community Colleges,428,191,237,214,66,148,141,62,79,73,63,10
2008,Schenectady,Community Colleges,444,192,252,208,68,140,160,60,100,76,64,12
2007,Schenectady,Community Colleges,430,186,244,210,68,142,144,56,88,76,62,14
2006,Schenectady,Community Colleges,466,190,276,213,68,145,178,57,121,75,65,10
2005,Schenectady,Community Colleges,466,189,277,225,70,155,168,57,111,73,62,11
2003,Schenectady,Community Colleges,417,187,230,204,65,139,138,58,80,75,64,11
2002,Schenectady,Community Colleges,418,187,231,195,65,130,150,60,90,73,62,11
2001,Schenectady,Community Colleges,417,184,233,195,65,130,148,56,92,74,63,11
2000,Schenectady,Community Colleges,401,178,223,185,62,123,143,55,88,73,61,12
2020,Suffolk County,Community Colleges,"2,146",990,"1,156","1,125",288,837,644,348,296,377,354,23
2019,Suffolk County,Community Colleges,"2,349","1,030","1,319","1,171",324,847,697,346,351,481,360,121
2018,Suffolk County,Community Colleges,"2,703","1,065","1,638","1,625",334,"1,291",604,349,255,474,382,92
2017,Suffolk County,Community Colleges,"2,575","1,055","1,520","1,553",342,"1,211",551,341,210,471,372,99
2016,Suffolk County,Community Colleges,"2,727","1,058","1,669","1,466",291,"1,175",783,390,393,478,377,101
2015,Suffolk County,Community Colleges,"2,738","1,060","1,678","1,557",320,"1,237",711,363,348,470,377,93
2014,Suffolk County,Community Colleges,"2,801","1,025","1,776","1,623",320,"1,303",715,336,379,463,369,94
2013,Suffolk County,Community Colleges,"2,486","1,047","1,439","1,646",314,"1,332",381,364,17,459,369,90
2012,Suffolk County,Community Colleges,"2,444","1,055","1,389","1,629",326,"1,303",371,355,16,444,374,70
2011,Suffolk County,Community Colleges,"2,902","1,037","1,865","1,660",313,"1,347",432,361,71,810,363,447
2010,Suffolk County,Community Colleges,"2,849","1,045","1,804","1,512",326,"1,186",480,353,127,857,366,491
2009,Suffolk County,Community Colleges,"3,125","1,049","2,076","1,609",340,"1,269",519,332,187,997,377,620
2008,Suffolk County,Community Colleges,"3,026","1,059","1,967","1,495",346,"1,149",623,339,284,908,374,534
2007,Suffolk County,Community Colleges,"2,932","1,004","1,928","1,479",355,"1,124",568,300,268,885,349,536
2006,Suffolk County,Community Colleges,"2,978","1,005","1,973","1,485",404,"1,081",544,262,282,949,339,610
2005,Suffolk County,Community Colleges,"2,775",987,"1,788","1,398",378,"1,020",481,253,228,896,356,540
2003,Suffolk County,Community Colleges,"2,686",978,"1,708","1,357",368,989,470,248,222,859,362,497
2002,Suffolk County,Community Colleges,"2,377",949,"1,428","1,230",319,911,505,288,217,642,342,300
2001,Suffolk County,Community Colleges,"2,297",939,"1,358","1,165",311,854,506,280,226,626,348,278
2000,Suffolk County,Community Colleges,"2,425",948,"1,477","1,335",392,943,466,201,265,624,355,269
2020,Sullivan County,Community Colleges,176,107,69,83,33,50,67,49,18,26,25,1
2019,Sullivan County,Community Colleges,204,116,88,92,35,57,77,49,28,35,32,3
2018,Sullivan County,Community Colleges,235,120,115,93,38,55,103,45,58,39,37,2
2017,Sullivan County,Community Colleges,220,124,96,96,43,53,87,45,42,37,36,1
2016,Sullivan County,Community Colleges,213,119,94,101,41,60,75,43,32,37,35,2
2015,Sullivan County,Community Colleges,220,136,84,100,47,53,83,52,31,37,37,0
2014,Sullivan County,Community Colleges,222,134,88,104,48,56,81,52,29,37,34,3
2013,Sullivan County,Community Colleges,221,138,83,104,49,55,78,53,25,39,36,3
2012,Sullivan County,Community Colleges,209,144,65,109,48,61,52,51,1,48,45,3
2011,Sullivan County,Community Colleges,222,151,71,113,50,63,68,64,4,41,37,4
2010,Sullivan County,Community Colleges,217,159,58,109,52,57,68,68,0,40,39,1
2009,Sullivan County,Community Colleges,222,163,59,104,46,58,75,75,0,43,42,1
2008,Sullivan County,Community Colleges,212,160,52,100,50,50,68,68,0,44,42,2
2007,Sullivan County,Community Colleges,232,160,72,113,48,65,86,80,6,33,32,1
2006,Sullivan County,Community Colleges,219,157,62,98,38,60,90,89,1,31,30,1
2005,Sullivan County,Community Colleges,236,158,78,112,49,63,62,59,3,62,50,12
2003,Sullivan County,Community Colleges,261,157,104,135,49,86,87,73,14,39,35,4
2002,Sullivan County,Community Colleges,235,154,81,109,46,63,87,73,14,39,35,4
2001,Sullivan County,Community Colleges,239,153,86,108,47,61,93,70,23,38,36,2
2000,Sullivan County,Community Colleges,219,145,74,98,40,58,86,72,14,35,33,2
2020,Tompkins-Cortland,Community Colleges,390,197,193,239,54,185,82,77,5,69,66,3
2019,Tompkins-Cortland,Community Colleges,541,207,334,283,55,228,182,79,103,76,73,3
2018,Tompkins-Cortland,Community Colleges,454,217,237,255,59,196,125,84,41,74,74,0
2017,Tompkins-Cortland,Community Colleges,462,228,234,236,59,177,147,90,57,79,79,0
2016,Tompkins-Cortland,Community Colleges,435,239,196,251,62,189,94,90,4,90,87,3
2015,Tompkins-Cortland,Community Colleges,461,239,222,278,61,217,94,92,2,89,86,3
2014,Tompkins-Cortland,Community Colleges,530,244,286,342,62,280,93,91,2,95,91,4
2013,Tompkins-Cortland,Community Colleges,540,250,290,349,69,280,93,89,4,98,92,6
2012,Tompkins-Cortland,Community Colleges,509,250,259,317,68,249,92,88,4,100,94,6
2011,Tompkins-Cortland,Community Colleges,536,251,285,347,68,279,81,80,1,108,103,5
2010,Tompkins-Cortland,Community Colleges,526,264,262,324,72,252,91,86,5,111,106,5
2009,Tompkins-Cortland,Community Colleges,520,274,246,312,76,236,95,91,4,113,107,6
2008,Tompkins-Cortland,Community Colleges,477,259,218,280,71,209,87,82,5,110,106,4
2007,Tompkins-Cortland,Community Colleges,463,236,227,284,66,218,77,74,3,102,96,6
2006,Tompkins-Cortland,Community Colleges,448,230,218,275,65,210,75,74,1,98,91,7
2005,Tompkins-Cortland,Community Colleges,427,212,215,270,66,204,69,69,0,88,77,11
2003,Tompkins-Cortland,Community Colleges,398,206,192,250,68,182,62,62,0,86,76,10
2002,Tompkins-Cortland,Community Colleges,389,206,183,235,67,168,66,63,3,88,76,12
2001,Tompkins-Cortland,Community Colleges,350,185,165,214,61,153,49,49,0,87,75,12
2000,Tompkins-Cortland,Community Colleges,344,191,153,197,61,136,62,53,9,85,77,8
2020,Ulster County,Community Colleges,328,194,134,146,74,72,88,61,27,94,59,35
2019,Ulster County,Community Colleges,367,194,173,172,72,100,101,63,38,94,59,35
2018,Ulster County,Community Colleges,339,170,169,172,72,100,85,54,31,82,44,38
2017,Ulster County,Community Colleges,320,169,151,166,73,93,72,53,19,82,43,39
2016,Ulster County,Community Colleges,329,173,156,170,75,95,78,51,27,81,47,34
2015,Ulster County,Community Colleges,362,173,189,209,80,129,70,47,23,83,46,37
2014,Ulster County,Community Colleges,391,190,201,212,81,131,82,56,26,97,53,44
2013,Ulster County,Community Colleges,401,183,218,228,75,153,74,51,23,99,57,42
2012,Ulster County,Community Colleges,473,189,284,291,65,226,60,51,9,122,73,49
2011,Ulster County,Community Colleges,405,188,217,206,65,141,102,64,38,97,59,38
2010,Ulster County,Community Colleges,397,192,205,203,68,135,99,67,32,95,57,38
2009,Ulster County,Community Colleges,407,192,215,198,69,129,102,64,38,107,59,48
2008,Ulster County,Community Colleges,374,185,189,186,68,118,89,58,31,99,59,40
2007,Ulster County,Community Colleges,363,179,184,184,65,119,85,56,29,94,58,36
2006,Ulster County,Community Colleges,370,180,190,186,65,121,88,55,33,96,60,36
2005,Ulster County,Community Colleges,384,186,198,207,67,140,88,60,28,89,59,30
2003,Ulster County,Community Colleges,390,174,216,210,61,149,99,56,43,81,57,24
